index,time,session_id,temperature,humidity,pressure,light,latitude,longitude,altitude,speed,satellites,epoch_time,accX,accY,accZ,gyroX,gyroY,gyroZ,RSSI,SNR
1470,1479846,1712742413,19.0788631439209,37.433876037597656,87.52973937988281,0.0,69.23371887207031,16.046497344970703,35.0,16.480947494506836,12,1712743887,0.32763671875,0.65869140625,2.0615234375,-16.8914794921875,-250.0,-250.0,0,0.0
1471,1480824,1712742413,19.0788631439209,37.08131408691406,87.58781433105469,170.3225860595703,69.23371124267578,16.046653747558594,34.79999923706055,17.731048583984375,12,1712743888,0.221923828125,-0.762939453125,0.293212890625,249.99237060546875,-250.0,-250.0,0,0.0
1472,1481815,1712742413,18.027360916137695,36.96504211425781,87.65605163574219,150.96774291992188,69.23371887207031,16.046772003173828,33.79999923706055,18.023664474487305,12,1712743889,0.221923828125,0.263916015625,0.837646484375,249.99237060546875,249.99237060546875,249.99237060546875,0,0.0
1473,1482798,1712742413,18.046138763427734,36.80376052856445,87.75178527832031,187.09677124023438,69.23371887207031,16.04689598083496,33.70000076293945,18.023664474487305,12,1712743890,-0.61767578125,-1.114013671875,0.677001953125,-250.0,249.99237060546875,249.99237060546875,0,0.0
1474,1483807,1712742413,17.877147674560547,36.65748596191406,87.8490219116211,175.48387145996094,69.23371887207031,16.04702377319336,33.5,18.023664474487305,12,1712743891,0.653564453125,-0.50244140625,0.209716796875,-89.080810546875,249.99237060546875,249.99237060546875,0,0.0
1475,1484780,1712742413,17.332618713378906,36.511207580566406,87.9507064819336,196.77420043945312,69.23369598388672,16.047014236450195,32.79999923706055,18.05699920654297,12,1712743892,0.8212890625,-0.661376953125,0.43603515625,249.99237060546875,14.2364501953125,14.2364501953125,0,0.0
1476,1485790,1712742413,17.088520050048828,36.353675842285156,88.0416030883789,172.90322875976562,69.23369598388672,16.047142028808594,32.599998474121094,18.05699920654297,12,1712743893,0.408935546875,-0.822998046875,1.0576171875,91.4306640625,39.16168212890625,39.16168212890625,0,0.0
1477,1486756,1712742413,16.7880916595459,36.31241989135742,88.15815734863281,194.19354248046875,69.23368072509766,16.04726791381836,32.400001525878906,18.05699920654297,11,1712743894,-0.564453125,-0.00048828125,1.307861328125,48.1414794921875,-250.0,-250.0,0,0.0
1478,1487755,1712742413,16.656652450561523,36.091129302978516,88.2690658569336,185.80645751953125,69.23374938964844,16.04734992980957,30.200000762939453,17.521772384643555,11,1712743895,-1.408447265625,0.7607421875,1.9228515625,-250.0,-250.0,-250.0,0,0.0
1479,1488739,1712742413,16.09334945678711,36.00861358642578,88.356201171875,133.5483856201172,69.23374938964844,16.04747200012207,30.0,17.521772384643555,10,1712743896,0.712890625,0.12841796875,0.28369140625,-249.6185302734375,-45.3643798828125,-45.3643798828125,0,0.0
1480,1489739,1712742413,16.05579376220703,35.89234161376953,88.48674011230469,196.1290283203125,69.23375701904297,16.047595977783203,29.799999237060547,17.521772384643555,12,1712743897,-0.345458984375,0.299072265625,1.32861328125,-250.0,-250.0,-250.0,0,0.0
1481,1490732,1712742413,15.849249839782715,35.971107482910156,88.5979232788086,185.16128540039062,69.23374938964844,16.04754638671875,29.200000762939453,16.308712005615234,11,1712743898,0.031982421875,2.415283203125,-0.0986328125,-127.5634765625,-250.0,-250.0,0,0.0
1482,1491722,1712742413,15.680257797241211,35.712310791015625,88.69242858886719,170.3225860595703,69.23374938964844,16.04766082763672,29.0,16.308712005615234,11,1712743899,0.343505859375,-0.3115234375,0.633056640625,-250.0,-250.0,-250.0,0,0.0
1483,1492700,1712742413,15.398605346679688,35.70105743408203,88.8170166015625,164.51612854003906,69.23374938964844,16.04777717590332,28.799999237060547,16.308712005615234,10,1712743900,-0.289794921875,-0.3720703125,1.1015625,249.94659423828125,-250.0,-250.0,0,0.0
1484,1493706,1712742413,15.398605346679688,35.70855712890625,88.9312744140625,173.5483856201172,69.23377227783203,16.04767417907715,26.399999618530273,15.071575164794922,10,1712743901,0.654052734375,-1.29296875,0.88330078125,-250.0,-208.74786376953125,-208.74786376953125,0,0.0
1485,1494685,1712742413,14.797747611999512,35.72356033325195,89.0457992553711,168.38710021972656,69.23377990722656,16.047779083251953,26.200000762939453,15.071575164794922,10,1712743902,0.14892578125,0.5302734375,0.816650390625,-250.0,62.50762939453125,62.50762939453125,0,0.0
1486,1495692,1712742413,14.572425842285156,35.6072883605957,89.1530990600586,176.77420043945312,69.23377990722656,16.04788589477539,25.899999618530273,15.071575164794922,8,1712743903,-0.0478515625,-0.121337890625,1.1884765625,249.99237060546875,18.51654052734375,18.51654052734375,0,0.0
